,date,lat,long,daysSince1985,economic_loss,total_affected,duration,event_type,CAMEOCode,Index,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3517,"Wednesday, March 29, 2006",11.45764637,78.19229126,7757,20305.18352,,1,-1,,4261,,,1,20305.18352,,,,25,7,0.0,0.0,,11.0
3518,"Saturday, April 01, 2006",13.17908287,79.61205292,7760,20305.18352,,1,-1,,4271,,,1,20305.18352,,,,24,7,0.0,0.0,,9.0
3519,"Saturday, April 01, 2006",13.17908287,79.61205292,7760,20305.18352,,1,-1,,4274,,,1,20305.18352,,,,24,7,0.0,0.0,,9.0
3520,"Sunday, April 02, 2006",13.08019447,80.05047607,7761,20305.18352,,1,-1,,4280,,,1,20305.18352,,,,24,7,0.0,0.0,,8.0
3521,"Sunday, April 02, 2006",12.61498547,79.75827789,7761,20305.18352,,1,-1,,4281,,,1,20305.18352,,,,24,7,0.0,0.0,,8.0
3522,"Tuesday, April 04, 2006",13.08019447,80.05047607,7763,20305.18352,,1,-1,,4284,,,1,20305.18352,,,,24,7,0.0,0.0,,6.0
3523,"Tuesday, April 04, 2006",11.2341,78.8805,7763,20305.18352,,1,-1,,4285,,,1,20305.18352,,,,1,0,,,,
3524,"Friday, April 07, 2006",13.33226776,80.19892883,7766,20305.18352,,1,-1,,4299,,,1,20305.18352,,,,24,7,0.0,0.0,,3.0
3525,"Saturday, April 08, 2006",11.05111,77.62059,7767,20305.18352,,1,-1,,4302,,,1,20305.18352,,,,1,0,,,,
3526,"Sunday, April 09, 2006",10.94279,77.06483,7768,20305.18352,,1,-1,,4307,,,1,20305.18352,,,,25,7,0.0,0.0,,31.0
3527,"Tuesday, April 11, 2006",10.76638,79.84952,7770,20305.18352,,1,-1,,4317,,,1,20305.18352,,,,25,7,0.0,0.0,,30.0
3528,"Wednesday, April 12, 2006",11.21629,78.15446,7771,20305.18352,,1,-1,,4326,,,1,20305.18352,,,,1,0,,,,
3529,"Thursday, April 13, 2006",9.927440643,78.15029907,7772,20305.18352,,1,-1,,4329,,,1,20305.18352,,,,26,8,0.0,0.0,,29.0
