Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
2973,344462.9347,,1,,,5.0,344462.9347,67.0,,,1,0,,,,,1
2974,751291.7901,,1,,,22.0,751291.7901,84.0,,,1,0,,,,,1
2975,8473063.008,,1,,,353.0,8473063.008,360.0,,,1,0,,,,,1
2976,717208.0892,,1,,,8.0,717208.0892,153.0,,,1,0,,,,,1
2977,211754.0567,,1,,,9.0,211754.0567,8.0,,,1,0,,,,,1
2978,160265.9128,,1,,,7.0,160265.9128,5.0,,,1,0,,,,,1
2979,315455.5296,,1,,,10.0,315455.5296,31.0,,,1,0,,,,,1
2980,160265.9128,,1,,,7.0,160265.9128,5.0,,,1,0,,,,,1
2981,461217.7399,,1,,,12.0,461217.7399,60.0,,,1,0,,,,,1
2982,99350.36221,,1,,,4.0,99350.36221,5.0,,,1,0,,,,,1
2983,4767367.016,,1,,,113.0,4767367.016,682.0,,,1,0,,,,,1
2984,96459774.3,,1,,,3673.0,96459774.3,6034.0,,,1,0,,,,,1
2985,82671.10432,,1,,,3.0,82671.10432,6.0,,,1,0,,,,,1
2986,75419.25306,,1,,,3.0,75419.25306,4.0,,,1,0,,,,,1
2987,95724.43658,,1,,,4.0,95724.43658,4.0,,,1,0,,,,,1
2988,75419.25306,,1,,,3.0,75419.25306,4.0,,,1,0,,,,,1
2989,123281.4714,,1,,,5.0,123281.4714,6.0,,,1,0,,,,,1
2990,75419.25306,,1,,,3.0,75419.25306,4.0,,,1,0,,,,,1
2991,64541.47618,,1,,,3.0,64541.47618,1.0,,,1,0,,,,,1
2992,677322.9073,,1,,,28.0,677322.9073,30.0,,,1,0,,,,,1
2993,682399.2032,,1,,,32.0,682399.2032,9.0,,,1,0,,,,,1
2994,64541.47618,,1,,,3.0,64541.47618,1.0,,,1,0,,,,,1
2995,82671.10432,,1,,,3.0,82671.10432,6.0,,,1,0,,,,,1
2996,240761.4617,,1,,,9.0,240761.4617,16.0,,,1,0,,,,,1
2997,153014.0615,,1,,,7.0,153014.0615,3.0,,,1,0,,,,,1
2998,471370.3317,,1,,,5.0,471370.3317,102.0,,,1,0,,,,,1
2999,184197.0219,,1,,,8.0,184197.0219,6.0,,,1,0,,,,,1
3000,424958.4836,,1,,,17.0,424958.4836,22.0,,,1,0,,,,,1
3001,1000755.473,,1,,,40.0,1000755.473,52.0,,,1,0,,,,,1
3002,620033.2824,,1,,,25.0,620033.2824,31.0,,,1,0,,,,,1
3003,110228.1391,,1,,,4.0,110228.1391,8.0,,,1,0,,,,,1
3004,223357.0187,,1,,,6.0,223357.0187,28.0,,,1,0,,,,,1
3005,100800.7325,,1,,,3.0,100800.7325,11.0,,,1,0,,,,,1
3006,221181.4633,,1,,,10.0,221181.4633,5.0,,,1,0,,,,,1
3007,183471.8368,,1,,,6.0,183471.8368,17.0,,,1,0,,,,,1
3008,156639.9871,,1,,,7.0,156639.9871,4.0,,,1,0,,,,,1
3009,224807.3889,,1,,,10.0,224807.3889,6.0,,,1,0,,,,,1
3010,518507.3648,,1,,,10.0,518507.3648,87.0,,,1,0,,,,,1
3011,456141.44399999996,,1,,,18.0,456141.44399999996,25.0,,,1,0,,,,,1
3012,108777.7688,,1,,,5.0,108777.7688,2.0,,,1,0,,,,,1
3013,492400.7003,,1,,,18.0,492400.7003,35.0,,,1,0,,,,,1
3014,327783.6768,,1,,,9.0,327783.6768,40.0,,,1,0,,,,,1
3015,865145.8549,,1,,,11.0,865145.8549,177.0,,,1,0,,,,,1
3016,108777.7688,,1,,,5.0,108777.7688,2.0,,,1,0,,,,,1
3017,172594.0599,,1,,,6.0,172594.0599,14.0,,,1,0,,,,,1
3018,75419.25306,,1,,,3.0,75419.25306,4.0,,,1,0,,,,,1
3019,857168.8185,,1,,,39.0,857168.8185,18.0,,,1,0,,,,,1
3020,1103731.761,,1,,,39.0,1103731.761,86.0,,,1,0,,,,,1
3021,93548.8812,,1,,,3.0,93548.8812,9.0,,,1,0,,,,,1
3022,113854.0647,,1,,,4.0,113854.0647,9.0,,,1,0,,,,,1
3023,75419.25306,,1,,,3.0,75419.25306,4.0,,,1,0,,,,,1
3024,254539.9791,,1,,,7.0,254539.9791,31.0,,,1,0,,,,,1
3025,279921.4585,,1,,,12.0,279921.4585,10.0,,,1,0,,,,,1
