,State,District,Block,latLong
261, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
262, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
263, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
264, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
265, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
266, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
267, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
268, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
269, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
270, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
271, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
272, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
273, Tamil Nadu,COIMBATORE,COIMBATORE SOUTH,"[10.952262878417969, 76.91082763671875]"
274, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
275, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
276, Tamil Nadu,VIRUTHUNAGAR,VIRUDHUNAGER,"[9.593749046325684, 77.9574966430664]"
277, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
278, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
279, Tamil Nadu,PERAMBALUR,PERAMBALUR,"[11.2341, 78.8805]"
280, Tamil Nadu,THOOTHUKUDI,TUTICORIN,"[8.792988777160645, 78.14242553710938]"
281, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
282, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
283, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
284, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
285, Tamil Nadu,THOOTHUKUDI,TUTICORIN,"[8.792988777160645, 78.14242553710938]"
286, Tamil Nadu,COIMBATORE,COIMBATORE NORTH,"[10.952262878417969, 76.91082763671875]"
287, Tamil Nadu,SALEM,SALEM,"[11.65212, 78.15798]"
288, Tamil Nadu,NILGIRI,UDHAGAMANDALAM,"[11.411314964294434, 76.69270324707031]"
289, Tamil Nadu,DINDUGAL,PALANI,"[10.45087718963623, 77.51485443115234]"
290, Tamil Nadu,THANJAVUR,THANJAVUR,"[10.7836, 79.1336]"
291, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
292, Tamil Nadu,DHARMAPURI,DHARMAPURI,"[12.125699996948242, 78.154296875]"
293, Tamil Nadu,DHARMAPURI,DHARMAPURI,"[12.125699996948242, 78.154296875]"
294, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
