economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
78319.99357,,1,,,1,78319.99357,16,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
491675.5152,,1,,,1,491675.5152,130,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
52938.51417,,1,,,1,52938.51417,9,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
60190.36543,,1,,,1,60190.36543,11,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
183471.8368,,1,,,1,183471.8368,45,,,1,0,,,,
85571.84482,,1,,,1,85571.84482,18,,,1,0,,,,
38434.81166,,1,,,1,38434.81166,5,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
74694.06794,,1,,,1,74694.06794,15,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
34808.88603,,1,,,1,34808.88603,4,,,1,0,,,,
38434.81166,,1,,,1,38434.81166,5,,,1,0,,,,
183471.8368,,1,,,1,183471.8368,45,,,1,0,,,,
1387279.145,,1,,,1,1387279.145,377,,,1,0,,,,
52938.51417,,1,,,1,52938.51417,9,,,1,0,,,,
38434.81166,,1,,,1,38434.81166,5,,,1,0,,,,
42060.73729,,1,,,1,42060.73729,6,,,1,0,,,,
71068.14231,,1,,,1,71068.14231,14,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
71068.14231,,1,,,1,71068.14231,14,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
49312.58854,,1,,,1,49312.58854,8,,,1,0,,,,
60915.55055,,1,,,3,60915.55055,,,,20,6,0,0,,65
121831.1011,,1,,,6,121831.1011,,,,20,6,0,0,,52
182746.6517,,1,,,9,182746.6517,,,,1,0,,,,
324882.9363,,1,,,16,324882.9363,,,,21,7,0,0,,39
406103.6703,,1,,,20,406103.6703,,,,1,0,,,,
60915.55055,,1,,,3,60915.55055,,,,1,0,,,,
101525.9176,,1,,,5,101525.9176,,,,1,0,,,,
162441.4681,,1,,,8,162441.4681,,,,24,9,0,0,,18
60915.55055,,1,,,3,60915.55055,,,,1,0,,,,
81220.73407,,1,,,4,81220.73407,,,,24,8,0,0,,12
60915.55055,,1,,,3,60915.55055,,,,1,0,,,,
121831.1011,,1,,,6,121831.1011,,,,24,7,0,0,,5
60915.55055,,1,,,3,60915.55055,,,,1,0,,,,
101525.9176,,1,,,5,101525.9176,,,,1,0,,,,
101525.9176,,1,,,5,101525.9176,,,,22,6,0,0,,19
121831.1011,,1,,,6,121831.1011,,,,22,6,0,0,,19
81220.73407,,1,,,4,81220.73407,,,,1,0,,,,
101525.9176,,1,,,5,101525.9176,,,,25,7,0,0,,4
60915.55055,,1,,,3,60915.55055,,,,1,0,,,,
203051.8352,,1,,,10,203051.8352,,,,1,0,,,,
60915.55055,,1,,,3,60915.55055,,,,1,0,,,,
20630066.45,,1,,,1016,20630066.45,,,,1,0,,,,
